Slope,Species,Call.Frequency
B,Myotis spp.,16
B,Pipistrellus pipistrellus,602
B,Pipistrellus nathusii,19
A,Myotis spp.,82
A,Pipistrellus nathusii,30
A,Pipistrellus pipistrellus,17284
A,Pipistrellus pygmaeus,600
A,Plecotus auritus,21
